fatigue,interest,anxiety,clarity,distractions,resistance,sleep,stress,confidence,perfectionism,meaning,deadline,target
1,5,1,5,0,2,3,5,5,5,5,4,perfectionism
4,1,2,5,0,1,1,5,4,4,2,1,fatigue
1,4,2,1,1,2,3,4,5,5,2,4,no_meaning
1,4,4,3,0,5,1,1,1,2,2,5,fatigue
4,3,4,4,1,2,2,5,5,1,4,5,fatigue
3,5,2,1,0,2,3,2,3,4,4,4,perfectionism
5,2,3,5,1,5,2,1,3,5,5,2,fatigue
4,5,5,5,1,1,1,4,3,2,4,3,fatigue
1,1,5,1,0,1,3,1,2,4,3,1,boredom
1,3,2,3,1,4,3,1,1,3,5,1,distraction
1,5,1,1,0,5,4,5,2,3,4,5,low_confidence
2,5,5,1,0,5,2,3,1,3,1,4,fatigue
2,3,5,2,1,4,1,4,1,3,3,3,fatigue
3,4,5,2,1,4,2,5,2,5,5,1,fatigue
5,4,3,3,1,2,5,2,4,4,5,4,fatigue
4,4,4,5,1,4,1,5,4,5,3,4,fatigue
2,3,2,2,1,1,3,2,2,2,3,3,distraction
4,5,4,5,1,2,5,2,3,4,4,2,fatigue
5,4,5,5,0,5,1,2,4,5,5,4,fatigue
3,3,2,1,1,1,5,5,4,4,5,1,distraction
2,5,3,2,1,1,2,1,3,3,5,3,fatigue
1,5,3,2,1,5,1,5,5,2,4,1,fatigue
5,1,1,4,1,5,3,2,5,1,2,2,fatigue
2,1,1,4,0,3,1,3,3,2,1,2,fatigue
5,4,1,4,1,4,5,5,4,2,2,3,fatigue
1,3,4,2,0,5,5,3,5,3,3,5,fear
2,1,5,3,0,3,5,5,4,1,2,1,boredom
5,3,5,1,0,2,4,4,1,5,5,2,fatigue
5,2,4,5,0,1,1,5,3,1,3,3,fatigue
5,1,2,5,1,4,5,5,1,2,3,2,fatigue
3,1,1,2,0,5,2,1,3,5,4,1,fatigue
4,3,1,1,0,4,1,4,1,3,3,2,fatigue
1,2,4,5,0,1,3,2,4,2,5,3,boredom
3,2,3,3,1,2,3,4,4,4,2,3,boredom
5,2,5,1,1,1,2,1,4,3,4,1,fatigue
4,5,2,5,0,1,3,2,3,1,2,3,fatigue
1,3,2,2,0,2,3,3,2,5,1,4,no_meaning
1,2,3,2,0,1,5,5,2,3,3,1,boredom
4,2,2,2,1,5,1,2,1,1,4,3,fatigue
5,1,4,1,1,2,5,2,2,4,4,3,fatigue
5,4,5,1,0,1,4,2,4,3,4,2,fatigue
2,4,2,1,1,3,5,2,5,1,2,2,no_meaning
2,4,5,5,1,1,1,3,4,2,4,1,fatigue
4,4,2,4,0,2,3,4,1,3,4,2,fatigue
4,3,4,1,1,5,5,3,2,1,5,3,fatigue
4,4,1,5,1,1,4,5,2,3,5,1,fatigue
1,1,2,1,0,4,4,5,5,3,5,1,boredom
5,3,4,5,0,5,1,1,3,2,1,3,fatigue
4,5,1,2,1,3,2,3,1,4,1,1,fatigue
2,4,5,1,0,1,3,1,4,2,1,3,no_meaning
1,2,1,3,1,2,4,2,3,5,3,4,boredom
5,1,1,2,1,4,2,5,4,4,4,5,fatigue
1,1,4,5,1,1,5,3,3,1,2,4,boredom
4,1,4,5,1,3,1,3,2,1,4,5,fatigue
4,5,4,4,0,4,5,1,4,4,1,5,fatigue
4,4,5,2,1,3,1,5,4,4,2,4,fatigue
3,3,1,3,1,3,2,5,4,4,4,2,fatigue
1,3,4,5,1,2,2,2,2,3,3,4,fatigue
5,2,2,5,1,3,4,5,2,2,4,5,fatigue
4,2,1,3,1,1,1,3,3,4,1,4,fatigue
3,4,1,1,0,5,4,5,4,2,4,3,overload
4,1,2,4,0,1,2,5,1,5,4,3,fatigue
4,4,1,2,0,3,4,5,2,5,1,3,fatigue
3,4,4,1,1,2,2,2,3,5,5,1,fatigue
1,4,1,4,1,2,5,5,2,3,2,4,no_meaning
3,3,1,5,1,5,1,4,2,3,2,4,fatigue
2,1,3,4,0,3,2,2,4,2,2,4,fatigue
2,1,2,1,1,2,4,5,4,5,1,4,boredom
4,1,2,5,1,4,3,3,5,4,5,5,fatigue
5,2,5,4,1,4,2,3,3,3,3,2,fatigue
5,1,2,3,0,1,3,5,4,3,4,1,fatigue
3,4,2,4,1,4,4,2,4,5,1,2,no_meaning
4,4,3,1,0,5,4,1,4,4,3,1,fatigue
5,2,4,1,0,3,3,2,1,4,4,4,fatigue
3,5,3,2,1,1,3,5,4,4,3,5,distraction
5,3,1,3,1,5,3,5,1,4,3,5,fatigue
2,1,5,3,0,4,3,5,2,5,4,1,boredom
2,5,3,5,0,4,4,1,3,5,1,1,no_meaning
3,4,5,2,0,5,3,1,2,5,2,4,no_meaning
2,2,2,4,0,3,3,2,5,5,1,3,boredom
3,4,4,1,0,3,5,2,4,5,1,1,no_meaning
4,1,1,5,1,2,2,2,4,5,5,4,fatigue
2,3,5,2,0,4,5,4,2,1,5,4,fear
2,1,3,5,1,5,5,3,3,5,4,5,boredom
1,5,4,1,1,3,5,1,3,1,1,1,no_meaning
3,2,3,1,0,1,2,2,2,2,5,3,fatigue
5,3,3,4,1,5,1,4,4,2,1,4,fatigue
1,5,3,4,0,4,4,5,3,5,1,4,no_meaning
2,4,4,1,1,5,1,1,5,3,2,4,fatigue
1,2,4,1,1,3,3,1,1,1,5,3,boredom
5,3,1,4,1,4,3,4,2,1,4,1,fatigue
2,2,5,3,0,4,4,5,2,1,2,5,boredom
2,3,1,3,1,4,5,4,5,2,2,1,no_meaning
1,2,1,3,1,3,1,5,2,4,5,2,fatigue
1,1,2,1,1,4,5,3,1,1,5,1,boredom
1,2,2,4,1,1,2,3,3,2,3,3,fatigue
3,4,5,2,1,4,4,1,1,5,4,5,fear
3,4,1,1,0,5,5,1,3,4,1,5,no_meaning
5,2,5,3,1,2,5,5,3,3,1,5,fatigue
5,3,2,3,0,5,5,4,1,4,3,5,fatigue
2,5,3,2,0,4,5,2,4,3,2,3,no_meaning
2,2,1,3,1,2,5,1,3,4,5,2,boredom
4,2,5,5,1,2,3,1,3,5,3,5,fatigue
2,5,5,3,1,1,5,3,3,2,5,5,fear
5,1,4,1,0,2,4,1,2,1,3,5,fatigue
2,1,2,5,1,3,1,2,2,2,4,1,fatigue
4,3,5,2,0,3,5,3,4,1,1,2,fatigue
2,2,1,3,1,3,5,1,1,3,4,2,boredom
4,2,1,2,0,1,3,2,4,5,2,3,fatigue
4,4,4,2,1,5,3,5,3,2,3,3,fatigue
3,4,1,5,1,2,4,5,3,2,4,5,distraction
5,2,2,5,0,3,2,3,2,4,5,1,fatigue
1,1,4,5,1,5,4,2,4,5,5,5,boredom
5,4,3,2,1,2,3,1,1,4,4,2,fatigue
2,3,5,3,1,5,5,4,4,2,1,1,no_meaning
3,2,1,4,0,1,4,3,5,4,5,2,boredom
4,4,3,1,1,1,5,1,5,3,5,3,fatigue
3,2,5,2,0,4,1,3,3,3,2,3,fatigue
5,1,4,4,1,1,1,5,2,1,1,1,fatigue
4,3,5,4,0,1,4,2,3,5,5,2,fatigue
1,2,2,3,0,5,4,2,4,2,4,1,boredom
3,5,2,3,1,3,3,1,1,1,5,4,distraction
1,1,3,5,1,4,4,5,5,4,5,5,boredom
3,1,3,3,1,1,1,2,1,4,5,2,fatigue
1,2,5,3,0,2,5,2,2,2,4,1,boredom
1,1,5,1,0,3,3,2,5,3,5,1,boredom
3,1,4,2,1,5,5,2,5,2,2,4,boredom
5,3,3,2,0,1,5,4,4,4,5,5,fatigue
2,3,5,1,1,1,3,1,1,5,2,1,no_meaning
5,2,5,3,1,2,1,5,4,2,5,3,fatigue
1,5,5,5,1,5,4,3,3,5,5,5,fear
2,5,4,3,1,2,1,1,3,3,2,2,fatigue
2,4,1,1,1,1,5,2,5,2,3,2,distraction
5,3,5,4,0,3,4,5,1,3,1,3,fatigue
5,2,3,5,0,4,1,1,2,3,5,3,fatigue
5,5,3,5,1,5,1,5,5,1,3,3,fatigue
3,1,5,2,0,5,3,3,1,1,4,5,boredom
5,3,3,3,0,2,5,1,4,4,1,1,fatigue
5,1,4,1,0,2,3,2,4,3,3,1,fatigue
4,5,2,5,0,3,3,2,3,2,5,5,fatigue
1,5,4,5,0,2,1,1,3,4,4,1,fatigue
2,2,1,3,0,5,4,5,1,1,3,3,boredom
5,1,2,1,1,2,2,3,3,2,1,2,fatigue
5,1,5,2,1,3,1,3,1,1,2,2,fatigue
2,4,2,4,1,4,4,2,2,3,1,1,no_meaning
5,1,2,3,0,4,1,3,5,4,4,2,fatigue
2,3,5,5,0,4,1,1,5,3,2,3,fatigue
2,3,4,4,1,4,3,1,2,2,1,3,no_meaning
2,2,5,4,0,3,5,5,3,5,1,5,boredom
1,2,2,4,1,5,5,4,4,5,5,2,boredom
2,4,4,2,1,3,2,3,4,3,1,2,fatigue
4,3,4,3,1,5,2,3,3,5,4,2,fatigue
5,2,3,1,1,4,5,2,1,5,3,2,fatigue
5,1,3,4,1,1,5,1,2,1,3,3,fatigue
2,4,1,3,1,4,2,2,2,5,4,2,fatigue
2,3,1,3,1,4,4,2,2,2,1,5,no_meaning
5,1,1,2,0,5,4,1,5,4,4,3,fatigue
2,5,2,5,0,1,3,5,3,5,2,1,no_meaning
1,2,4,1,1,1,2,2,2,4,3,4,fatigue
4,5,1,3,1,1,2,4,5,5,1,1,fatigue
5,2,1,2,0,2,3,2,2,3,1,3,fatigue
1,4,5,2,0,1,1,5,1,1,2,2,fatigue
5,1,3,3,0,2,5,4,1,3,4,3,fatigue
3,1,5,3,1,2,2,5,1,3,2,2,fatigue
4,2,4,1,0,3,1,2,1,5,4,2,fatigue
2,4,4,4,0,3,2,5,4,5,3,1,fatigue
5,2,5,4,1,2,1,3,5,1,1,3,fatigue
4,1,2,5,0,2,2,2,4,4,5,4,fatigue
3,2,3,3,1,5,2,2,3,2,4,1,fatigue
2,5,1,3,1,2,5,3,4,2,4,5,distraction
4,1,4,2,0,4,2,4,2,5,3,1,fatigue
3,2,5,2,1,5,4,2,5,4,2,1,boredom
5,4,5,3,1,4,1,1,2,2,4,1,fatigue
3,3,5,4,1,3,3,5,5,3,5,5,fear
2,4,3,4,1,1,4,4,2,3,2,4,no_meaning
4,5,3,1,0,1,4,4,1,5,2,5,fatigue
2,2,5,3,0,2,5,1,4,2,1,1,boredom
1,2,5,3,1,4,5,2,5,3,1,5,boredom
4,1,5,5,0,1,4,2,1,4,1,2,fatigue
2,1,2,2,0,1,4,1,1,3,5,4,boredom
2,2,4,3,1,5,1,4,3,3,4,1,fatigue
3,1,3,5,0,4,5,3,1,4,5,4,boredom
4,4,1,4,1,2,4,1,5,5,4,4,fatigue
4,5,1,1,0,3,5,1,2,4,1,4,fatigue
4,5,5,1,1,4,5,4,2,5,1,4,fatigue
3,4,5,4,1,5,2,2,5,2,4,1,fatigue
1,2,5,5,1,2,5,1,5,4,2,5,boredom
4,2,4,2,0,1,2,5,3,2,1,5,fatigue
3,2,1,1,1,3,5,1,5,1,4,3,boredom
5,2,1,1,1,5,4,2,4,5,5,1,fatigue
4,2,5,1,1,2,1,2,3,2,5,4,fatigue
1,4,2,5,1,5,5,3,1,3,4,2,distraction
3,5,1,4,1,2,2,4,5,3,1,5,fatigue
1,5,3,2,1,3,1,2,5,2,3,3,fatigue
3,4,4,1,1,5,4,2,3,4,2,3,no_meaning
1,2,5,1,0,2,4,1,1,4,1,4,boredom
4,2,4,1,1,4,3,2,4,3,3,4,fatigue
5,2,5,2,0,1,4,3,5,5,5,5,fatigue
5,1,1,1,0,1,2,5,2,5,4,2,fatigue
4,5,2,1,1,5,4,1,3,3,4,2,fatigue
3,4,1,1,0,3,1,3,5,3,5,5,fatigue
4,3,2,5,1,5,1,2,5,3,5,2,fatigue
4,1,2,1,1,4,4,5,2,4,4,5,fatigue
4,4,3,2,1,1,5,4,4,1,4,3,fatigue
5,5,4,3,1,1,2,3,4,5,2,4,fatigue
2,2,3,4,0,2,1,5,3,1,1,1,fatigue
5,2,3,5,1,4,4,3,4,4,5,5,fatigue
3,3,3,4,1,3,5,4,5,1,1,2,no_meaning
1,4,5,3,1,1,1,1,5,5,3,3,fatigue
5,1,4,1,0,5,4,4,4,5,4,2,fatigue
3,5,1,3,0,4,4,4,2,3,5,3,overload
5,1,4,3,1,3,2,1,3,5,1,4,fatigue
1,1,5,2,1,1,1,3,5,3,2,5,fatigue
2,5,2,3,0,2,5,1,1,5,5,5,perfectionism
3,3,4,1,1,1,2,5,2,5,3,5,fatigue
2,4,3,2,1,2,4,1,3,1,4,4,distraction
5,3,4,5,1,4,2,4,2,4,3,3,fatigue
4,2,1,5,0,1,2,4,1,3,1,1,fatigue
3,1,3,3,1,1,3,1,3,1,1,1,boredom
4,4,1,1,1,3,1,1,1,5,3,5,fatigue
5,3,4,1,0,3,4,4,5,5,2,4,fatigue
2,2,1,3,1,5,3,3,2,1,1,1,boredom
3,4,4,4,0,2,2,2,5,1,2,3,fatigue
3,5,1,4,1,4,4,3,4,1,2,5,no_meaning
1,1,2,5,1,5,3,3,5,2,4,2,boredom
3,2,5,4,0,1,2,4,3,2,4,4,fatigue
1,1,2,3,0,1,1,4,4,4,4,3,fatigue
3,2,3,4,0,1,5,5,3,3,3,4,boredom
2,2,4,5,0,4,5,4,1,2,5,1,boredom
3,3,4,1,0,4,1,3,4,3,1,5,fatigue
5,5,4,5,1,1,2,4,4,1,3,1,fatigue
5,4,5,4,1,1,1,5,4,3,2,2,fatigue
3,4,2,4,0,2,1,1,3,5,5,4,fatigue
5,3,5,3,0,2,4,3,1,5,3,1,fatigue
3,4,1,5,0,3,4,1,5,3,3,4,fear
2,4,3,2,0,1,4,3,4,4,1,3,no_meaning
2,4,2,2,0,5,4,1,2,2,3,3,low_confidence
4,3,5,3,1,2,1,5,5,4,1,5,fatigue
3,5,2,5,1,5,1,3,1,5,3,5,fatigue
4,5,5,1,0,4,4,1,1,1,3,3,fatigue
4,4,3,5,0,5,4,1,1,4,5,1,fatigue
5,1,5,3,1,2,5,3,5,2,3,1,fatigue
4,3,1,4,0,1,1,5,5,4,1,3,fatigue
2,5,2,5,0,2,1,4,4,5,1,3,fatigue
1,5,5,3,0,4,2,5,5,4,5,1,fatigue
2,2,2,5,1,5,2,3,2,1,3,4,fatigue
5,4,3,1,1,5,2,1,1,1,2,2,fatigue
2,4,5,1,0,1,5,5,1,3,2,1,no_meaning
5,3,2,2,1,1,3,3,2,1,5,1,fatigue
1,5,3,5,1,4,1,4,5,4,5,1,fatigue
4,2,4,2,1,5,4,3,3,3,1,1,fatigue
1,4,3,2,0,3,4,1,5,1,4,1,fatigue
5,3,5,1,0,3,1,5,2,1,5,3,fatigue
1,1,2,5,0,3,4,2,2,5,5,5,boredom
3,4,4,5,1,4,1,1,5,1,1,2,fatigue
4,3,3,2,1,5,5,2,3,1,5,4,fatigue
5,5,5,3,0,2,1,1,2,4,5,1,fatigue
5,4,1,4,1,4,4,3,1,5,2,4,fatigue
2,3,5,4,0,1,3,1,1,1,5,5,fear
1,2,2,3,1,5,2,4,1,4,5,2,fatigue
1,4,1,2,0,5,4,2,5,1,2,5,no_meaning
3,5,2,4,0,2,1,4,1,3,2,1,fatigue
2,1,5,2,1,2,5,2,5,2,5,2,boredom
1,5,1,3,1,1,3,5,2,3,1,4,no_meaning
3,3,3,5,0,2,1,5,5,4,1,2,fatigue
3,3,1,5,0,2,5,4,2,2,1,2,no_meaning
1,2,5,3,0,1,4,2,4,5,2,2,boredom
1,3,5,2,0,2,5,2,4,2,4,3,fear
4,1,2,3,0,5,3,3,3,5,4,5,fatigue
3,5,4,5,0,3,1,2,2,2,1,5,fatigue
4,4,5,3,1,5,4,5,5,1,4,5,fatigue
1,3,4,1,0,1,3,1,2,1,3,5,fear
4,3,1,4,1,3,2,5,2,4,4,2,fatigue
1,5,5,4,0,1,4,1,2,2,5,4,fear
1,1,5,4,0,5,1,3,4,3,5,5,fatigue
4,2,3,2,1,2,5,3,5,1,2,5,fatigue
5,4,2,4,1,1,1,5,5,4,1,3,fatigue
1,3,2,2,0,1,3,2,5,1,5,2,overload
4,3,1,4,1,2,2,4,3,2,4,5,fatigue
4,3,3,4,0,1,3,3,3,2,5,4,fatigue
5,4,1,3,0,2,3,3,1,1,1,4,fatigue
3,1,1,3,0,2,2,5,3,5,3,3,fatigue
4,2,4,2,1,3,1,5,3,2,2,3,fatigue
1,4,2,3,0,2,5,3,2,3,1,1,no_meaning
5,3,4,5,1,1,2,2,4,3,5,4,fatigue
2,4,5,2,0,5,2,2,3,2,2,2,fatigue
2,3,5,1,0,5,1,1,1,5,3,5,fatigue
5,2,4,2,1,5,5,5,2,2,5,4,fatigue
2,2,4,3,0,3,5,5,5,1,4,3,boredom
4,4,4,3,1,3,2,2,5,3,4,4,fatigue
3,2,5,2,0,2,5,3,4,4,5,5,boredom
2,3,3,5,1,5,1,2,5,2,4,3,fatigue
4,2,2,4,1,5,2,5,1,2,3,5,fatigue
4,1,4,3,1,4,2,2,5,4,5,3,fatigue
2,1,1,4,1,1,5,1,1,4,3,4,boredom
1,4,1,4,0,1,3,4,2,1,2,5,no_meaning
3,1,2,5,1,3,3,4,4,5,4,5,boredom
4,3,3,2,1,5,1,2,1,4,5,2,fatigue
