id,question_text,category_anxiety,category_fatigue,category_lack_of_interest,category_overwhelm,category_physiological,weight
1,Вы чувствуете физическую усталость или сонливость?,0,1,0,0,1,1
2,Вы боитесь что результат будет недостаточно хорошим?,1,0,0,0,0,2
3,Задача кажется слишком большой непонятно с чего начать?,0,0,0,1,0,1.5
4,Вы считаете задачу скучной или бессмысленной?,0,0,1,0,0,1.5
5,Вы чувствуете тревогу что другие оценят вашу работу?,1,0,0,0,0,1.5
6,Вы спали меньше 6 часов прошлой ночью?,0,1,0,0,1,1
7,Вы не понимаете зачем вам эта задача?,0,0,1,0,0,1
8,Вы чувствуете ментальное истощение?,0,1,0,0,0,1
9,Вы не знаете точных требований или ожидаемого результата?,0,0,0,1,0,1
10,Вы чувствуете голод или физический дискомфорт?,0,0,0,0,1,1
11,Вы боитесь что не справитесь даже если начнете?,1,0,0,1,0,1
12,Задача не соответствует вашим ценностям или интересам?,0,0,1,0,0,1
13,Вы чувствуете эмоциональную опустошенность?,0,1,0,0,0,1
14,Вы перепроверяете мелочи по несколько раз?,1,0,0,0,0,1
15,Вы ждете идеального момента чтобы начать?,1,0,0,1,0,1